subtype,species_latin_name,species_common_name,species_description,SD_prompt
pterocliformes,Merops mentalis,Blue-moustached Bee-eater," Green body with a blue moustache stripe, black eye stripe, and yellow belly.","A photograph of a Blue-moustached Bee-eater (Merops mentalis): Green body with a blue moustache stripe, black eye stripe, and yellow belly."
pterocliformes,Merops malimbicus,Rosy Bee-eater," Pink body with a green back, blue rump, and black eye stripe.","A photograph of a Rosy Bee-eater (Merops malimbicus): Pink body with a green back, blue rump, and black eye stripe."
pterocliformes,Merops ornatus,Rainbow Bee-eater," Multicolored with green, blue, orange, and yellow feathers.","A photograph of a Rainbow Bee-eater (Merops ornatus): Multicolored with green, blue, orange, and yellow feathers."
columbiformes,Columba livia,Rock Pigeon," Grey body, two black bars on each wing, bright red feet, and a green-purple neck.","A photograph of a Rock Pigeon (Columba livia): Grey body, two black bars on each wing, bright red feet, and a green-purple neck."
columbiformes,Zenaida macroura,Mourning Dove," Light gray and pinkish below, long pointed tail with white edges.","A photograph of a Mourning Dove (Zenaida macroura): Light gray and pinkish below, long pointed tail with white edges."
columbiformes,Columba palumbus,Common Wood Pigeon," Large, grey with a pinkish hue, white patch on neck and wing.","A photograph of a Common Wood Pigeon (Columba palumbus): Large, grey with a pinkish hue, white patch on neck and wing."
columbiformes,Streptopelia decaocto,Eurasian Collared Dove," Pale grey, with a narrow black crescent on the back of the neck.","A photograph of a Eurasian Collared Dove (Streptopelia decaocto): Pale grey, with a narrow black crescent on the back of the neck."
columbiformes,Spilopelia chinensis,Spotted Dove, Pink-grey with a black collar spotted with white on the back of the neck.,A photograph of a Spotted Dove (Spilopelia chinensis): Pink-grey with a black collar spotted with white on the back of the neck.
columbiformes,Patagioenas leucocephala,White-crowned Pigeon," Dark grey body, striking white crown, and red iris.","A photograph of a White-crowned Pigeon (Patagioenas leucocephala): Dark grey body, striking white crown, and red iris."
columbiformes,Patagioenas fasciata,Band-tailed Pigeon," Grey, with a white crescent on the back of the neck, yellow bill, and yellow legs.","A photograph of a Band-tailed Pigeon (Patagioenas fasciata): Grey, with a white crescent on the back of the neck, yellow bill, and yellow legs."
columbiformes,Caloenas nicobarica,Nicobar Pigeon," Glossy green and copper feathers, short white tail, and a small black mask.","A photograph of a Nicobar Pigeon (Caloenas nicobarica): Glossy green and copper feathers, short white tail, and a small black mask."
columbiformes,Goura victoria,Victoria Crowned Pigeon," Blue-grey with elegant blue lace-like crests, red eyes, and maroon chest.","A photograph of a Victoria Crowned Pigeon (Goura victoria): Blue-grey with elegant blue lace-like crests, red eyes, and maroon chest."
columbiformes,Chalcophaps indica,Common Emerald Dove," Bright emerald green back and wings, grey head, and pink chest.","A photograph of a Common Emerald Dove (Chalcophaps indica): Bright emerald green back and wings, grey head, and pink chest."
columbiformes,Geopelia striata,Zebra Dove," Grey body, blue-grey face, black and white barred sides and back.","A photograph of a Zebra Dove (Geopelia striata): Grey body, blue-grey face, black and white barred sides and back."
columbiformes,Geopelia cuneata,Diamond Dove," Small, grey body, white-spotted black wings, and red eye-rings.","A photograph of a Diamond Dove (Geopelia cuneata): Small, grey body, white-spotted black wings, and red eye-rings."
columbiformes,Gallicolumba luzonica,Luzon Bleeding-heart," Grey, with a red 'heart' on the breast, white belly, and green wings.","A photograph of a Luzon Bleeding-heart (Gallicolumba luzonica): Grey, with a red 'heart' on the breast, white belly, and green wings."
columbiformes,Zenaida graysoni,Socorro Dove," Dark pinkish-brown, black spots on wings, and a long, rounded tail.","A photograph of a Socorro Dove (Zenaida graysoni): Dark pinkish-brown, black spots on wings, and a long, rounded tail."
columbiformes,Nesoenas mayeri,Pink Pigeon," Pink body, brown wings, and a broad, reddish-brown tail.","A photograph of a Pink Pigeon (Nesoenas mayeri): Pink body, brown wings, and a broad, reddish-brown tail."
columbiformes,Alopecoenas erythropterus,Polynesian Ground Dove," Male has a white head, chest and belly, and red wings and tail.","A photograph of a Polynesian Ground Dove (Alopecoenas erythropterus): Male has a white head, chest and belly, and red wings and tail."
columbiformes,Ducula galeata,Marquesan Imperial Pigeon," Large, dark grey with a green sheen, and a pale grey head.","A photograph of a Marquesan Imperial Pigeon (Ducula galeata): Large, dark grey with a green sheen, and a pale grey head."
columbiformes,Geotrygon chrysia,Key West Quail-Dove," Reddish-brown back, pinkish underparts, and a white forehead.","A photograph of a Key West Quail-Dove (Geotrygon chrysia): Reddish-brown back, pinkish underparts, and a white forehead."
columbiformes,Geotrygon leucometopius,White-fronted Quail-Dove," Dark brown, white forehead, and a pinkish hue on the chest.","A photograph of a White-fronted Quail-Dove (Geotrygon leucometopius): Dark brown, white forehead, and a pinkish hue on the chest."
columbiformes,Geotrygon montana,Ruddy Quail-Dove," Male is ruddy pink, female is greyish-brown, both have a white stripe behind the eye.","A photograph of a Ruddy Quail-Dove (Geotrygon montana): Male is ruddy pink, female is greyish-brown, both have a white stripe behind the eye."
gruiformes,Balearica regulorum,Grey Crowned Crane," Large bird with a grey body, white wings, and a distinctive golden crown.","A photograph of a Grey Crowned Crane (Balearica regulorum): Large bird with a grey body, white wings, and a distinctive golden crown."
gruiformes,Cariama cristata,Red-legged Seriema," Medium-sized bird with long red legs, grey body, and a crest of curled feathers.","A photograph of a Red-legged Seriema (Cariama cristata): Medium-sized bird with long red legs, grey body, and a crest of curled feathers."
gruiformes,Fulica americana,American Coot," Small, dark grey bird with a white bill and a red eye.","A photograph of a American Coot (Fulica americana): Small, dark grey bird with a white bill and a red eye."
gruiformes,Porphyrio porphyrio,Purple Swamphen," Large bird with a deep purple-blue body, red bill and forehead shield.","A photograph of a Purple Swamphen (Porphyrio porphyrio): Large bird with a deep purple-blue body, red bill and forehead shield."
gruiformes,Antigone canadensis,Sandhill Crane," Tall bird with a grey body, red forehead, and long, thin neck.","A photograph of a Sandhill Crane (Antigone canadensis): Tall bird with a grey body, red forehead, and long, thin neck."
gruiformes,Grus grus,Common Crane," Large bird with a grey body, black flight feathers, and a red and white head.","A photograph of a Common Crane (Grus grus): Large bird with a grey body, black flight feathers, and a red and white head."
gruiformes,Antigone vipio,White-naped Crane," Large bird with a grey body, white nape, and red face patch.","A photograph of a White-naped Crane (Antigone vipio): Large bird with a grey body, white nape, and red face patch."
gruiformes,Aramus guarauna,Limpkin," Medium-sized bird with a brown body, white spots, and a long, curved bill.","A photograph of a Limpkin (Aramus guarauna): Medium-sized bird with a brown body, white spots, and a long, curved bill."
gruiformes,Fulica atra,Eurasian Coot," Small, black bird with a white bill and forehead shield.","A photograph of a Eurasian Coot (Fulica atra): Small, black bird with a white bill and forehead shield."
gruiformes,Porphyrio martinicus,Purple Gallinule," Medium-sized bird with a purple-blue body, green back, and red and yellow bill.","A photograph of a Purple Gallinule (Porphyrio martinicus): Medium-sized bird with a purple-blue body, green back, and red and yellow bill."
gruiformes,Coturnicops noveboracensis,Yellow Rail," Small bird with a brown body, black stripes, and a short yellow bill.","A photograph of a Yellow Rail (Coturnicops noveboracensis): Small bird with a brown body, black stripes, and a short yellow bill."
gruiformes,Rallus crepitans,Clapper Rail," Medium-sized bird with a brown body, long bill, and grey underparts.","A photograph of a Clapper Rail (Rallus crepitans): Medium-sized bird with a brown body, long bill, and grey underparts."
gruiformes,Crex crex,Corn Crake," Small bird with a brown body, black stripes, and a short bill.","A photograph of a Corn Crake (Crex crex): Small bird with a brown body, black stripes, and a short bill."
gruiformes,Grus americana,Whooping Crane," Tall bird with a white body, red crown, and long, thin neck.","A photograph of a Whooping Crane (Grus americana): Tall bird with a white body, red crown, and long, thin neck."
gruiformes,Antigone antigone,Sarus Crane," Large bird with a grey body, red head and upper neck.","A photograph of a Sarus Crane (Antigone antigone): Large bird with a grey body, red head and upper neck."
gruiformes,Balearica pavonina,Black Crowned Crane," Large bird with a black body, white cheeks, and a golden crown.","A photograph of a Black Crowned Crane (Balearica pavonina): Large bird with a black body, white cheeks, and a golden crown."
gruiformes,Fulica cristata,Red-knobbed Coot," Small, black bird with a white bill and red knobs on its forehead.","A photograph of a Red-knobbed Coot (Fulica cristata): Small, black bird with a white bill and red knobs on its forehead."
gruiformes,Porphyrio madagascariensis,African Swamphen," Large bird with a deep purple-blue body, green wings, and a red bill and forehead shield.","A photograph of a African Swamphen (Porphyrio madagascariensis): Large bird with a deep purple-blue body, green wings, and a red bill and forehead shield."
gruiformes,Porzana carolina,Sora," Small bird with a grey body, black face, and a short yellow bill.","A photograph of a Sora (Porzana carolina): Small bird with a grey body, black face, and a short yellow bill."
gruiformes,Rallus limicola,Virginia Rail," Medium-sized bird with a brown body, long bill, and grey underparts.","A photograph of a Virginia Rail (Rallus limicola): Medium-sized bird with a brown body, long bill, and grey underparts."
podicipediformes,Podiceps cristatus,Great Crested Grebe," Large grebe with a long neck, sharp beak, and distinctive black crest.","A photograph of a Great Crested Grebe (Podiceps cristatus): Large grebe with a long neck, sharp beak, and distinctive black crest."
podicipediformes,Podiceps grisegena,Red-necked Grebe," Medium-sized grebe with a red neck, black cap, and white cheeks.","A photograph of a Red-necked Grebe (Podiceps grisegena): Medium-sized grebe with a red neck, black cap, and white cheeks."
podicipediformes,Podiceps auritus,Slavonian Grebe," Small grebe with a black head, red eyes, and golden ear tufts.","A photograph of a Slavonian Grebe (Podiceps auritus): Small grebe with a black head, red eyes, and golden ear tufts."
podicipediformes,Podiceps nigricollis,Black-necked Grebe," Small grebe with a black neck, red eyes, and a tufted yellow crown.","A photograph of a Black-necked Grebe (Podiceps nigricollis): Small grebe with a black neck, red eyes, and a tufted yellow crown."
podicipediformes,Tachybaptus ruficollis,Little Grebe," Small grebe with a short beak, brown body, and yellow throat.","A photograph of a Little Grebe (Tachybaptus ruficollis): Small grebe with a short beak, brown body, and yellow throat."
podicipediformes,Podilymbus podiceps,Pied-billed Grebe," Medium-sized grebe with a short beak, brown body, and distinctive black band on the beak.","A photograph of a Pied-billed Grebe (Podilymbus podiceps): Medium-sized grebe with a short beak, brown body, and distinctive black band on the beak."
podicipediformes,Tachybaptus dominicus,Least Grebe," Small grebe with a short beak, dark brown body, and yellow eyes.","A photograph of a Least Grebe (Tachybaptus dominicus): Small grebe with a short beak, dark brown body, and yellow eyes."
podicipediformes,Podiceps auritus,Horned Grebe," Medium-sized grebe with a black head, red eyes, and distinctive golden ""horns"".","A photograph of a Horned Grebe (Podiceps auritus): Medium-sized grebe with a black head, red eyes, and distinctive golden ""horns""."
podicipediformes,Podiceps nigricollis,Eared Grebe," Small grebe with a black head, red eyes, and golden ear tufts.","A photograph of a Eared Grebe (Podiceps nigricollis): Small grebe with a black head, red eyes, and golden ear tufts."
podicipediformes,Tachybaptus novaehollandiae,Australasian Grebe," Small grebe with a short beak, dark brown body, and yellow throat.","A photograph of a Australasian Grebe (Tachybaptus novaehollandiae): Small grebe with a short beak, dark brown body, and yellow throat."
podicipediformes,Tachybaptus pelzelnii,Madagascar Grebe," Small grebe with a short beak, dark brown body, and yellow eyes.","A photograph of a Madagascar Grebe (Tachybaptus pelzelnii): Small grebe with a short beak, dark brown body, and yellow eyes."
podicipediformes,Rollandia rolland,White-tufted Grebe," Medium-sized grebe with a white body, black head, and white tufts.","A photograph of a White-tufted Grebe (Rollandia rolland): Medium-sized grebe with a white body, black head, and white tufts."
podicipediformes,Podiceps occipitalis,Silvery Grebe," Medium-sized grebe with a silver body, black head, and red eyes.","A photograph of a Silvery Grebe (Podiceps occipitalis): Medium-sized grebe with a silver body, black head, and red eyes."
podicipediformes,Podiceps taczanowskii,Junin Grebe," Medium-sized grebe with a black body, white underparts, and red eyes.","A photograph of a Junin Grebe (Podiceps taczanowskii): Medium-sized grebe with a black body, white underparts, and red eyes."
podicipediformes,Podiceps gallardoi,Hooded Grebe," Medium-sized grebe with a black head, white body, and distinctive black hood.","A photograph of a Hooded Grebe (Podiceps gallardoi): Medium-sized grebe with a black head, white body, and distinctive black hood."
podicipediformes,Podiceps major,Great Grebe," Large grebe with a long neck, sharp beak, and red eyes.","A photograph of a Great Grebe (Podiceps major): Large grebe with a long neck, sharp beak, and red eyes."
podicipediformes,Fulica armillata,Red-gartered Coot," Large water bird with a black body, white beak, and red garter on the leg.","A photograph of a Red-gartered Coot (Fulica armillata): Large water bird with a black body, white beak, and red garter on the leg."
podicipediformes,Fulica gigantea,Giant Coot," Large water bird with a black body, white beak, and large size.","A photograph of a Giant Coot (Fulica gigantea): Large water bird with a black body, white beak, and large size."
podicipediformes,Fulica leucoptera,White-winged Coot," Large water bird with a black body, white beak, and white wing patches.","A photograph of a White-winged Coot (Fulica leucoptera): Large water bird with a black body, white beak, and white wing patches."
podicipediformes,Fulica ardesiaca,Andean Coot," Large water bird with a black body, white beak, and red eyes.","A photograph of a Andean Coot (Fulica ardesiaca): Large water bird with a black body, white beak, and red eyes."
phoenicopteriformes,Phoenicopterus ruber,American Flamingo," Bright pink bird with long, thin legs and neck. Curved, downward-pointing beak with black tip.","A photograph of a American Flamingo (Phoenicopterus ruber): Bright pink bird with long, thin legs and neck. Curved, downward-pointing beak with black tip."
phoenicopteriformes,Phoenicopterus roseus,Greater Flamingo," Tallest flamingo species with pale pink feathers, black-tipped wings, and long, curved neck.","A photograph of a Greater Flamingo (Phoenicopterus roseus): Tallest flamingo species with pale pink feathers, black-tipped wings, and long, curved neck."
phoenicopteriformes,Phoeniconaias minor,Lesser Flamingo," Smallest flamingo species with deep pink plumage, dark red legs, and a dark bill.","A photograph of a Lesser Flamingo (Phoeniconaias minor): Smallest flamingo species with deep pink plumage, dark red legs, and a dark bill."
phoenicopteriformes,Phoenicopterus chilensis,Chilean Flamingo," Large bird with pale pink body, darker lower neck, breast, and wing coverts. Has a white and black bill.","A photograph of a Chilean Flamingo (Phoenicopterus chilensis): Large bird with pale pink body, darker lower neck, breast, and wing coverts. Has a white and black bill."
phoenicopteriformes,Phoenicoparrus andinus,Andean Flamingo, Pale pink bird with yellow and black bill. Has the longest neck and legs in proportion to body size of all flamingos.,A photograph of a Andean Flamingo (Phoenicoparrus andinus): Pale pink bird with yellow and black bill. Has the longest neck and legs in proportion to body size of all flamingos.
phoenicopteriformes,Phoenicoparrus jamesi,James's Flamingo," Small bird with pale pink body, bright pink lower neck, breast, and wing coverts. Bill is yellow with a black tip.","A photograph of a James's Flamingo (Phoenicoparrus jamesi): Small bird with pale pink body, bright pink lower neck, breast, and wing coverts. Bill is yellow with a black tip."
charadriiformes,Fratercula arctica,Atlantic Puffin," Small seabird with black back and white underparts, large parrot-like beak with colorful summer plates.","A photograph of a Atlantic Puffin (Fratercula arctica): Small seabird with black back and white underparts, large parrot-like beak with colorful summer plates."
charadriiformes,Phalaropus fulicarius,Red Phalarope," Small wader with red body, white cheeks, and black eye patch in breeding plumage.","A photograph of a Red Phalarope (Phalaropus fulicarius): Small wader with red body, white cheeks, and black eye patch in breeding plumage."
charadriiformes,Actitis hypoleucos,Common Sandpiper," Small wader with olive-brown upperparts, white underparts, and a distinctive bobbing flight.","A photograph of a Common Sandpiper (Actitis hypoleucos): Small wader with olive-brown upperparts, white underparts, and a distinctive bobbing flight."
charadriiformes,Rissa tridactyla,Black-legged Kittiwake," Medium-sized gull with white body, grey back, black wingtips, and black legs.","A photograph of a Black-legged Kittiwake (Rissa tridactyla): Medium-sized gull with white body, grey back, black wingtips, and black legs."
charadriiformes,Haematopus ostralegus,Eurasian Oystercatcher," Large wader with black and white body, long red bill, and pink legs.","A photograph of a Eurasian Oystercatcher (Haematopus ostralegus): Large wader with black and white body, long red bill, and pink legs."
charadriiformes,Stercorarius skua,Great Skua," Large seabird with dark brown body, broad white wing patches, and a hooked bill.","A photograph of a Great Skua (Stercorarius skua): Large seabird with dark brown body, broad white wing patches, and a hooked bill."
charadriiformes,Vanellus vanellus,Northern Lapwing," Medium-sized wader with green and purple upperparts, white underparts, and a distinctive crest.","A photograph of a Northern Lapwing (Vanellus vanellus): Medium-sized wader with green and purple upperparts, white underparts, and a distinctive crest."
charadriiformes,Calidris canutus,Red Knot," Medium-sized wader with red body and white belly in breeding plumage, grey in non-breeding.","A photograph of a Red Knot (Calidris canutus): Medium-sized wader with red body and white belly in breeding plumage, grey in non-breeding."
charadriiformes,Limosa limosa,Black-tailed Godwit," Large wader with long, straight bill, brown and white body, and black tail.","A photograph of a Black-tailed Godwit (Limosa limosa): Large wader with long, straight bill, brown and white body, and black tail."
charadriiformes,Sterna hirundo,Common Tern," Medium-sized seabird with grey body, white underparts, black cap, and red bill.","A photograph of a Common Tern (Sterna hirundo): Medium-sized seabird with grey body, white underparts, black cap, and red bill."
charadriiformes,Arenaria interpres,Ruddy Turnstone," Small wader with colorful patterned body, white belly, and short, pointed bill.","A photograph of a Ruddy Turnstone (Arenaria interpres): Small wader with colorful patterned body, white belly, and short, pointed bill."
charadriiformes,Calidris alpina,Dunlin," Small wader with black belly patch and curved bill in breeding plumage, grey in non-breeding.","A photograph of a Dunlin (Calidris alpina): Small wader with black belly patch and curved bill in breeding plumage, grey in non-breeding."
charadriiformes,Charadrius hiaticula,Ringed Plover," Small wader with sandy color, white belly, black chest band, and orange bill.","A photograph of a Ringed Plover (Charadrius hiaticula): Small wader with sandy color, white belly, black chest band, and orange bill."
charadriiformes,Calidris alba,Sanderling," Small wader with white body, black legs, and short, straight bill.","A photograph of a Sanderling (Calidris alba): Small wader with white body, black legs, and short, straight bill."
charadriiformes,Calidris ferruginea,Curlew Sandpiper," Small wader with rusty-red body and long, curved bill in breeding plumage.","A photograph of a Curlew Sandpiper (Calidris ferruginea): Small wader with rusty-red body and long, curved bill in breeding plumage."
charadriiformes,Calidris minuta,Little Stint," Tiny wader with brown and white body, black legs, and short, straight bill.","A photograph of a Little Stint (Calidris minuta): Tiny wader with brown and white body, black legs, and short, straight bill."
charadriiformes,Pluvialis squatarola,Grey Plover," Medium-sized wader with black face and belly, white sides, and a short, thick bill.","A photograph of a Grey Plover (Pluvialis squatarola): Medium-sized wader with black face and belly, white sides, and a short, thick bill."
charadriiformes,Sterna paradisaea,Arctic Tern," Small seabird with grey body, white underparts, black cap, and red bill.","A photograph of a Arctic Tern (Sterna paradisaea): Small seabird with grey body, white underparts, black cap, and red bill."
charadriiformes,Numenius phaeopus,Whimbrel," Large wader with brown and white striped body, long curved bill, and a striped head.","A photograph of a Whimbrel (Numenius phaeopus): Large wader with brown and white striped body, long curved bill, and a striped head."
charadriiformes,Limosa lapponica,Bar-tailed Godwit," Large wader with long, straight bill, brown and white body, and barred tail.","A photograph of a Bar-tailed Godwit (Limosa lapponica): Large wader with long, straight bill, brown and white body, and barred tail."
eurypygiformes,Eurypyga helias,Sunbittern," Medium-sized bird with long legs and neck. In flight, it displays a striking pattern of orange, black and white on its wings.","A photograph of a Sunbittern (Eurypyga helias): Medium-sized bird with long legs and neck. In flight, it displays a striking pattern of orange, black and white on its wings."
eurypygiformes,Rhynochetos jubatus,Kagu," A nearly flightless bird with a bluish-grey plumage, bright red legs and a long crest on its head. Its eyes are dark red.","A photograph of a Kagu (Rhynochetos jubatus): A nearly flightless bird with a bluish-grey plumage, bright red legs and a long crest on its head. Its eyes are dark red."
phaethontiformes,Phaethon lepturus,White-tailed Tropicbird," Predominantly white with black streaks on the back and wings. Long, white tail streamers.","A photograph of a White-tailed Tropicbird (Phaethon lepturus): Predominantly white with black streaks on the back and wings. Long, white tail streamers."
phaethontiformes,Phaethon aethereus,Red-billed Tropicbird," Mostly white with black wingtips. Distinctive red bill and long, white tail streamers.","A photograph of a Red-billed Tropicbird (Phaethon aethereus): Mostly white with black wingtips. Distinctive red bill and long, white tail streamers."
phaethontiformes,Phaethon rubricauda,Red-tailed Tropicbird, White with black wingtips. Red tail streamers and black eye-line.,A photograph of a Red-tailed Tropicbird (Phaethon rubricauda): White with black wingtips. Red tail streamers and black eye-line.
gaviiformes,Gavia stellata,Red-throated Loon, Small loon with grey head and red throat patch. Back is speckled with white and black.,A photograph of a Red-throated Loon (Gavia stellata): Small loon with grey head and red throat patch. Back is speckled with white and black.
gaviiformes,Gavia pacifica,Pacific Loon," Medium-sized loon with grey head, black throat, and white underparts. Back is black with white squares.","A photograph of a Pacific Loon (Gavia pacifica): Medium-sized loon with grey head, black throat, and white underparts. Back is black with white squares."
gaviiformes,Gavia arctica,Arctic Loon, Similar to Pacific Loon but with a greenish-black throat and larger white squares on the back.,A photograph of a Arctic Loon (Gavia arctica): Similar to Pacific Loon but with a greenish-black throat and larger white squares on the back.
gaviiformes,Gavia immer,Common Loon, Large loon with black head and red eyes. Back is black with white spots. Underparts are white.,A photograph of a Common Loon (Gavia immer): Large loon with black head and red eyes. Back is black with white spots. Underparts are white.
gaviiformes,Gavia adamsii,Yellow-billed Loon, Largest loon with yellow bill. Head is black with red eyes. Back is black with white spots. Underparts are white.,A photograph of a Yellow-billed Loon (Gavia adamsii): Largest loon with yellow bill. Head is black with red eyes. Back is black with white spots. Underparts are white.
sphenisciformes,Aptenodytes forsteri,Emperor Penguin," Largest penguin species with a black back, white belly, and yellow ear patches.","A photograph of a Emperor Penguin (Aptenodytes forsteri): Largest penguin species with a black back, white belly, and yellow ear patches."
sphenisciformes,Aptenodytes patagonicus,King Penguin," Similar to Emperor, but smaller with orange ear patches.","A photograph of a King Penguin (Aptenodytes patagonicus): Similar to Emperor, but smaller with orange ear patches."
sphenisciformes,Pygoscelis adeliae,Adélie Penguin," Small penguin with a black back and head, white belly, and white eye rings.","A photograph of a Adélie Penguin (Pygoscelis adeliae): Small penguin with a black back and head, white belly, and white eye rings."
sphenisciformes,Pygoscelis papua,Gentoo Penguin, Medium-sized penguin with a white stripe over the top of its head.,A photograph of a Gentoo Penguin (Pygoscelis papua): Medium-sized penguin with a white stripe over the top of its head.
sphenisciformes,Pygoscelis antarcticus,Chinstrap Penguin, Named for the thin black band under its head.,A photograph of a Chinstrap Penguin (Pygoscelis antarcticus): Named for the thin black band under its head.
sphenisciformes,Eudyptula minor,Little Penguin, Smallest penguin species with slate-blue to black feathers and white belly.,A photograph of a Little Penguin (Eudyptula minor): Smallest penguin species with slate-blue to black feathers and white belly.
sphenisciformes,Megadyptes antipodes,Yellow-eyed Penguin, Named for its yellow eyes and has a yellow band from its eye to the back of its head.,A photograph of a Yellow-eyed Penguin (Megadyptes antipodes): Named for its yellow eyes and has a yellow band from its eye to the back of its head.
sphenisciformes,Eudyptes pachyrhynchus,Fiordland Penguin," Has a thick bill, yellow eyebrow stripes, and a double crest.","A photograph of a Fiordland Penguin (Eudyptes pachyrhynchus): Has a thick bill, yellow eyebrow stripes, and a double crest."
sphenisciformes,Eudyptes robustus,Snares Penguin, Similar to Fiordland but with a more robust bill and body.,A photograph of a Snares Penguin (Eudyptes robustus): Similar to Fiordland but with a more robust bill and body.
sphenisciformes,Eudyptes sclateri,Erect-crested Penguin, Has a double crest and stands upright.,A photograph of a Erect-crested Penguin (Eudyptes sclateri): Has a double crest and stands upright.
sphenisciformes,Eudyptes schlegeli,Royal Penguin, Similar to Macaroni but with a white face.,A photograph of a Royal Penguin (Eudyptes schlegeli): Similar to Macaroni but with a white face.
sphenisciformes,Eudyptes chrysolophus,Macaroni Penguin, Named for its yellow and black crest.,A photograph of a Macaroni Penguin (Eudyptes chrysolophus): Named for its yellow and black crest.
sphenisciformes,Eudyptes chrysocome,Rockhopper Penguin, Small penguin with red eyes and a crest of spiky yellow and black feathers.,A photograph of a Rockhopper Penguin (Eudyptes chrysocome): Small penguin with red eyes and a crest of spiky yellow and black feathers.
sphenisciformes,Eudyptes moseleyi,Northern Rockhopper Penguin, Similar to Rockhopper but with longer crest feathers.,A photograph of a Northern Rockhopper Penguin (Eudyptes moseleyi): Similar to Rockhopper but with longer crest feathers.
sphenisciformes,Eudyptes chrysocome,Southern Rockhopper Penguin, Similar to Northern Rockhopper but with shorter crest feathers.,A photograph of a Southern Rockhopper Penguin (Eudyptes chrysocome): Similar to Northern Rockhopper but with shorter crest feathers.
sphenisciformes,Spheniscus demersus,African Penguin, Medium-sized penguin with a black back and white belly with a horseshoe of black spots.,A photograph of a African Penguin (Spheniscus demersus): Medium-sized penguin with a black back and white belly with a horseshoe of black spots.
sphenisciformes,Spheniscus humboldti,Humboldt Penguin, Similar to African but with a white band on its head.,A photograph of a Humboldt Penguin (Spheniscus humboldti): Similar to African but with a white band on its head.
sphenisciformes,Spheniscus magellanicus,Magellanic Penguin, Similar to Humboldt but with two black bands on its chest.,A photograph of a Magellanic Penguin (Spheniscus magellanicus): Similar to Humboldt but with two black bands on its chest.
sphenisciformes,Spheniscus mendiculus,Galapagos Penguin, Smallest of the Spheniscus penguins with a thin white line around its face.,A photograph of a Galapagos Penguin (Spheniscus mendiculus): Smallest of the Spheniscus penguins with a thin white line around its face.
sphenisciformes,Eudyptula albosignata,White-flippered Penguin, Similar to Little Penguin but with white edges on its flippers.,A photograph of a White-flippered Penguin (Eudyptula albosignata): Similar to Little Penguin but with white edges on its flippers.
procellariiformes,Diomedea exulans,Wandering Albatross," Large bird with white body, black wings, and pink beak.","A photograph of a Wandering Albatross (Diomedea exulans): Large bird with white body, black wings, and pink beak."
procellariiformes,Macronectes giganteus,Southern Giant Petrel," Dark brown bird with a large, hooked beak.","A photograph of a Southern Giant Petrel (Macronectes giganteus): Dark brown bird with a large, hooked beak."
procellariiformes,Fulmarus glacialis,Northern Fulmar," Medium-sized bird with grey wings, white body, and yellow beak.","A photograph of a Northern Fulmar (Fulmarus glacialis): Medium-sized bird with grey wings, white body, and yellow beak."
procellariiformes,Procellaria cinerea,Grey Petrel, Dark grey bird with a white underbelly and a black-tipped beak.,A photograph of a Grey Petrel (Procellaria cinerea): Dark grey bird with a white underbelly and a black-tipped beak.
procellariiformes,Procellaria aequinoctialis,White-chinned Petrel, Large bird with black body and white patch under the chin.,A photograph of a White-chinned Petrel (Procellaria aequinoctialis): Large bird with black body and white patch under the chin.
procellariiformes,Halobaena caerulea,Blue Petrel," Small bird with blue-grey upperparts, white underparts, and black bill.","A photograph of a Blue Petrel (Halobaena caerulea): Small bird with blue-grey upperparts, white underparts, and black bill."
procellariiformes,Pachyptila desolata,Antarctic Prion," Small bird with blue-grey upperparts, white underparts, and a black bill.","A photograph of a Antarctic Prion (Pachyptila desolata): Small bird with blue-grey upperparts, white underparts, and a black bill."
procellariiformes,Pachyptila turtur,Fairy Prion," Small bird with blue-grey upperparts, white underparts, and a black bill.","A photograph of a Fairy Prion (Pachyptila turtur): Small bird with blue-grey upperparts, white underparts, and a black bill."
procellariiformes,Oceanites oceanicus,Wilson's Storm Petrel," Small bird with black body, white rump, and yellow webbed feet.","A photograph of a Wilson's Storm Petrel (Oceanites oceanicus): Small bird with black body, white rump, and yellow webbed feet."
procellariiformes,Pelagodroma marina,White-faced Storm Petrel," Small bird with grey-brown upperparts, white underparts, and a black bill.","A photograph of a White-faced Storm Petrel (Pelagodroma marina): Small bird with grey-brown upperparts, white underparts, and a black bill."
procellariiformes,Fregetta tropica,Black-bellied Storm Petrel," Small bird with black upperparts, white underparts, and a black bill.","A photograph of a Black-bellied Storm Petrel (Fregetta tropica): Small bird with black upperparts, white underparts, and a black bill."
procellariiformes,Garrodia nereis,Grey-backed Storm Petrel," Small bird with grey upperparts, white underparts, and a black bill.","A photograph of a Grey-backed Storm Petrel (Garrodia nereis): Small bird with grey upperparts, white underparts, and a black bill."
procellariiformes,Ardenna grisea,Sooty Shearwater," Medium-sized bird with dark grey body and a long, slender bill.","A photograph of a Sooty Shearwater (Ardenna grisea): Medium-sized bird with dark grey body and a long, slender bill."
procellariiformes,Puffinus puffinus,Manx Shearwater," Medium-sized bird with black upperparts, white underparts, and a dark bill.","A photograph of a Manx Shearwater (Puffinus puffinus): Medium-sized bird with black upperparts, white underparts, and a dark bill."
